135,9.5,LAN-2-LAN NETWORKING,67
136,9.6,LAN-2-WAN FORWARDING,67
137,9.6.1,IPv4,67
138,9.6.1.1,NAT-PT,67
139,9.6.1.2,ALG (Application Level Gateway),67
140,9.6.1.3,VPN Pass-through,67
141,9.6.2,IPv6,67
142,9.7,PORT FORWARDING,67
143,10,LAN LOCAL SERVICES,69
144,10.1,DYNAMIC DNS CLIENT,69
145,10.2,USB SUPPORT,69
146,10.2.1,USB Printers,69
147,10.2.2,USB Storage Devices,69
148,10.3,PRINT SERVER,70
149,10.4,USB STORAGE USER ACCESS CONTROL,70
150,10.5,FILE TRANSFER PROTOCOL (FTP) SERVER,70
151,10.6,SMB SHARE SERVER,70
152,10.7,UPNP,71
153,10.7.1,UPnP Internet Gateway Device (IGD),71
154,10.7.2,UPnP Media Server,71
155,10.7.2.1,Digital Living Network Alliance,72
156,11,TELEPHONY,73
157,11.1,MODEL OVERVIEW,73
158,11.2,DEVICES,73
159,11.2.1,FXS,74
160,11.2.2,ISDN,74
161,11.2.3,DECT,74
162,11.3,VOIP,74
163,11.3.1,SIP Accounts,75
164,11.3.2,SIP Account Registration,75
165,11.3.3,SIP Account Multiple Registration,76
166,11.3.4,SIP Codecs,76
167,11.3.5,Variable Packet Length,77
168,11.3.6,Jitter Buffer,77
169,11.3.7,Echo Canceller,77
170,11.3.8,DTMF Detection - Generation - Transmission,77
171,11.3.9,Voice Activity Detection (VAD),77
172,11.3.10,Comfort Noise Generation (CNG),77
173,11.3.11,Packet Loss Concealment (PLC),77
174,11.4,PBX FUNCTIONALITY,78
175,11.4.1,Dialing & Dynamic Inter Digit Time Out,78
176,11.4.2,Device MSN/Call Mapping,79
177,11.4.2.1,Internal Calls,79
178,11.4.2.2,Incoming Calls,79
179,11.4.2.3,Outgoing Calls,82
180,11.4.3,Supplementary Telephony Services (STS),82
181,11.4.4,Call Management,83
182,11.4.4.1,Call Waiting (CW),83
183,11.4.4.2,Call Hold - Brokering (CH),84
184,11.4.4.3,3 Party Conference (3PTY),85
185,11.4.5,Call Forwarding,85
186,11.4.5.1,Call Forwarding Unconditional (CFU),85
187,11.4.5.2,Call Forwarding on Busy (CFB),86
188,11.4.5.3,Call Forwarding on No Reply (CFNR),86
189,11.4.6,Identification,86
190,11.4.6.1,Calling Line Identification Presentation (CLIP),86
191,11.4.6.2,Calling Name Identification Presentation (CNIP),87
192,11.4.6.3,Calling Line Identification Restriction (CLIR),87
193,11.4.6.4,Connected Line Identification Presentation (COLP),87
194,11.4.6.5,Connected Line Identification Restriction (COLR),88
195,11.4.6.6,Advice of Charge at End of Call (AOC-E),88
196,11.4.7,Call Lists,88
197,11.4.8,Phonebook,89
198,11.5,PBX CALL SCENARIOS,89
199,11.5.1,Basics,89
200,11.5.2,RG WITH 2 OR MORE SIP ACCOUNTS CONFIGURED,89
201,11.5.3,RG WITH ONLY 1 SIP ACCOUNT CONFIGURED,90
202,12,DECT,91
203,12.1,GENERAL,91
204,12.2,REQUESTED OPTIONAL CAT-IQ 2.0 FEATURE,91
205,12.3,DECT ACTIVATION AND DEACTIVATION,91
206,12.4,REGISTRATION,91
207,12.5,PAGING (HANDSET LOCATOR),91
208,12.6,CODEC SUPPORT,91
209,12.7,GENERAL HANDLING OF DECT HANDSETS,92
210,12.8,PHONEBOOK FUNCTIONALITY,92
211,12.9,EXTENDED INTERNAL NAMES LIST,92
212,12.10,VOICE MESSAGE NOTIFICATION,93
213,12.11,MISSED CALL NOTIFICATION,93
214,12.12,DATE AND TIME SYNCHRONIZATION,93
215,12.13,CALL WAITING,93
216,12.14,CALL TRANSFER,94
217,12.15,3-PARTY CONFERENCE,94
218,12.16,INTRUSION CALL,94
219,12.17,LINE IDENTIFICATION,94
220,12.18,LINE ATTACHMENT,94
221,12.19,CALLING LINE IDENTIFICATION (CLIP),94
222,12.20,CALLING NAME IDENTIFICATION (CNIP),94
223,12.21,CALLING LINE IDENTIFICATION RESTRICTION (CLIR),95
224,12.22,CALL LISTS,95
225,12.23,CALL FORWARDING,95
226,12.24,DTMF HANDLING,95
227,12.25,TONES PROVISION,95
228,12.26,HEADSET MANAGEMENT,96
229,12.27,PIN CODE,96
230,12.28,NEMO,96
231,12.29,RF POWER REDUCTION,96
232,12.30,ENCRYPTION,96
233,12.31,SUOTA AND LDS,96
234,12.32,GENERAL LIST ACCESS HANDLING,96
235,12.33,GENERAL DECT/CAT-IQ REQUIREMENTS,97
236,12.34,RESET,98
237,12.35,BACKUP/RESTORE,98
238,13,RG MANAGEMENT,99
239,13.1,FIRMWARE UPDATE,99
240,13.2,CONFIGURATION DATA,99
241,13.3,RESET MANAGEMENT,100
242,13.3.1,Factory Reset,100
243,13.3.2,Partial Factory Reset via ACS,100
244,13.3.3,Partial Factory Reset via Local GUI,100
245,13.3.4,Normal Reset (Reboot),100
246,13.3.5,Area Detection Reset,100
247,13.4,AUTO CONFIGURATION SERVER (ACS),100
248,13.5,SSH REMOTE MANAGEMENT,102
249,13.6,LOCAL GUI,102
250,13.6.1,Captive Portal,103
251,13.6.2,Backup and Restore of Configuration Settings,103
252,13.6.3,Browser Support,103
253,13.7,REMOTE GUI MANAGEMENT,104
254,13.7.1,User Remote GUI Management,104
255,13.7.2,Service Remote GUI Management,104
256,14,REPORTING & PERFORMANCE,105
257,14.1,REPORTING AND TROUBLESHOOTING VIA ACS,105
258,14.2,VOICE QUALITY REPORTING,106
259,14.3,END2END PERFORMANCE,109
260,14.4,RG INTERNAL NETWORKING PERFORMANCE,110
261,15,PRODUCT SECURITY,112
262,A,AUDIOVISUAL FEEDBACK DEFINITIONS,113
263,A.1,LOCALLY STORED ANNOUNCEMENTS,113
264,A.2,SIGNAL TONE DEFINITIONS,113
265,A.2.1,Dial Tone,113
266,A.2.2,Ring Tone,113
267,A.2.3,Busy Tone,113
268,A.2.4,Call Waiting,114
269,A.2.5,Positive Tone,114
270,A.2.6,Negative Tone,114
271,A.2.7,Hold Tone,114
272,A.2.8,Special Dial Tone,114
273,A.2.9,Congestion Tone,114
274,B,ACS INFORMATION MODEL AND PARAMETER AGGREGATION,115
275,C,CONFIGURATION AND GUI,127
276,D,WAKE-UP CALL,140
